"subtype","y","n","stratified_rate","stratified_ci_low","stratified_ci_high","posterior_mean","posterior_ci_low","posterior_ci_high","rhat"
"Angiosarcoma",2,15,0.133333333333333,0.0165759134400836,0.404602696603372,0.147281782260553,0.0583713022045699,0.254652838253152,1.0021535515234
"Ewing",0,13,0,0,0.247052638000471,0.123785555459571,0.0255624315007608,0.218299305613372,1.00459221368815
"Fibrosarcoma",1,12,0.0833333333333333,0.00210759323186023,0.384796165150944,0.139137162143323,0.0457341398232486,0.243476650199753,1.00323752522809
"Leiomyosarcoma",6,28,0.214285714285714,0.0829606123876385,0.409531026505828,0.170328638335353,0.0900522875866104,0.289310620254853,1.00092434204781
"Liposarcoma",7,29,0.241379310344828,0.102983550772617,0.435400345988533,0.180634384803912,0.0934654915433343,0.310983703156295,1.00154086613799
"MFH",3,29,0.103448275862069,0.0218637368298536,0.273515197892423,0.1364664023966,0.0573187401988514,0.221315925481529,1.00435748037917
"Osteosarcoma",5,26,0.192307692307692,0.0655481087367825,0.393505527939322,0.163298236024136,0.085909631546415,0.278564757338321,1.00285141265265
"MPNST",1,5,0.2,0.00505076337946806,0.716417936118089,0.15817970903351,0.0596050721090085,0.314854227469687,1.00123059016483
"Rhabdomyosarcoma",0,2,0,0,0.841886116991581,0.147778647771061,0.0391721057498755,0.293489100112068,1.00260081900195
"Synovial",3,20,0.15,0.0320709371854637,0.378926826545314,0.150171978134236,0.067190479579807,0.255181446263924,1.00325178116833
