"scenario","borrow","trials","iterations","burn_in","retained_draws_per_trial","gamma_acceptance","sigma_acceptance"
1,"Moderate",7500,8000,3000,5000,0.5658827,0.74541625
1,"Strong",7500,8000,3000,5000,0.379898320833333,0.700938666666667
2,"Moderate",7500,8000,3000,5000,0.51259355,0.748705016666667
2,"Strong",7500,8000,3000,5000,0.362968133333333,0.703923633333333
3,"Moderate",7500,8000,3000,5000,0.556329270833333,0.744967016666667
3,"Strong",7500,8000,3000,5000,0.390376429166667,0.693707366666667
4,"Moderate",7500,8000,3000,5000,0.579932904166667,0.743113083333333
4,"Strong",7500,8000,3000,5000,0.403599641666667,0.6889921
5,"Moderate",7500,8000,3000,5000,0.644370266666667,0.733906883333333
5,"Strong",7500,8000,3000,5000,0.45288425,0.6671695
6,"Moderate",7500,8000,3000,5000,0.584102754166667,0.7432138
6,"Strong",7500,8000,3000,5000,0.400376704166667,0.691310033333333
