"control","scenario","borrow","threshold","calibration_trials","evaluation_trials","b1","b1_low","b1_high","b2","b2_low","b2_high","b3","b3_low","b3_high","b4","b4_low","b4_high","FWER","FWER_low","FWER_high","FWPD","FWPD_low","FWPD_high","FWPC","FWPC_low","FWPC_high"
"weak",1,"No",0.9767,2500,5000,1.12,0.8635,1.4515,1,0.7594,1.3159,0.86,0.6391,1.1563,0.94,0.7077,1.2477,3.88,3.3792,4.4517,NA,NA,NA,NA,NA,NA
"weak",1,"Moderate",0.9674,2500,5000,1.44,1.1451,1.8095,1.4,1.1096,1.765,1.36,1.0743,1.7204,1.2,0.9335,1.5415,4.84,4.279,5.4703,NA,NA,NA,NA,NA,NA
"weak",1,"Strong",0.95,2500,5000,2.58,2.1756,3.0572,2.72,2.3041,3.2085,2.48,2.084,2.9489,2.54,2.139,3.0139,5.48,4.8827,6.1457,NA,NA,NA,NA,NA,NA
"weak",2,"No",0.9767,2500,5000,23.34,22.1883,24.5327,23.12,21.9723,24.309,23.7,22.5418,24.8986,23.06,21.9134,24.2479,NA,NA,NA,65.5,64.1709,66.8053,0.24,0.1373,0.4191
"weak",2,"Moderate",0.9674,2500,5000,53.48,52.0953,54.8593,52.68,51.2946,54.0613,52.32,50.9343,53.7021,52.88,51.4947,54.2609,NA,NA,NA,86.58,85.607,87.4968,16.18,15.1853,17.2267
"weak",2,"Strong",0.95,2500,5000,80.5,79.3786,81.5746,79.72,78.5829,80.8115,79.56,78.4197,80.6549,80.2,79.0725,81.2812,NA,NA,NA,91.46,90.6532,92.2032,63.18,61.8335,64.5063
"weak",3,"No",0.9767,2500,5000,0.88,0.6562,1.1792,23.96,22.7972,25.1628,23.6,22.4436,24.797,23.94,22.7775,25.1425,0.88,0.6562,1.1792,55.44,54.0587,56.813,1.36,1.0743,1.7204
"weak",3,"Moderate",0.9674,2500,5000,7.22,6.535,7.9707,41.52,40.1612,42.8918,42.18,40.8177,43.5543,41.66,40.3004,43.0324,7.22,6.535,7.9707,71.32,70.0504,72.5569,13.06,12.1543,14.0224
"weak",3,"Strong",0.95,2500,5000,31.62,30.3457,32.9226,61.04,59.6803,62.3827,61.4,60.0423,62.7402,61.42,60.0625,62.76,31.62,30.3457,32.9226,75.42,74.2074,76.5936,45.22,43.8446,46.6027
"weak",4,"No",0.9767,2500,5000,0.86,0.6391,1.1563,1.14,0.881,1.474,23.62,22.4632,24.8173,23.52,22.365,24.7156,2,1.6472,2.4265,41.8,40.4397,43.1729,5.34,4.7504,5.9982
"weak",4,"Moderate",0.9674,2500,5000,4.58,4.0346,5.1951,4.58,4.0346,5.1951,32.94,31.6508,34.2554,33.86,32.5611,35.1837,8.24,7.5095,9.0346,50.18,48.7945,51.5652,16.62,15.6139,17.6774
"weak",4,"Strong",0.95,2500,5000,16.84,15.8283,17.9026,17.76,16.7256,18.844,42.32,40.957,43.6948,42.7,41.3351,44.0761,24.1,22.9347,25.3051,52.18,50.7943,53.5624,32.84,31.5519,34.1545
"weak",5,"No",0.9767,2500,5000,0,0,0.0768,0.98,0.7421,1.2932,11.62,10.7611,12.5379,42.24,40.8774,43.6146,0.98,0.7421,1.2932,48.68,47.2961,50.0659,5.18,4.5994,5.8294
"weak",5,"Moderate",0.9674,2500,5000,0.02,0.0035,0.1132,2.96,2.5251,3.4671,18.2,17.1551,19.2938,45.98,44.6022,47.364,2.98,2.5436,3.4886,51.92,50.5342,53.3029,12.26,11.3798,13.1982
"weak",5,"Strong",0.95,2500,5000,1.38,1.0919,1.7427,8.32,7.5861,9.1179,21.4,20.2854,22.5585,38.5,37.1606,39.8571,8.76,8.0077,9.5756,41.76,40.3999,43.1328,18.14,17.0965,19.2324
"weak",6,"No",0.9767,2500,5000,1.02,0.7767,1.3385,1,0.7594,1.3159,0.94,0.7077,1.2477,23.9,22.7382,25.1019,2.92,2.4882,3.424,23.9,22.7382,25.1019,23.9,22.7382,25.1019
"weak",6,"Moderate",0.9674,2500,5000,2.56,2.1573,3.0355,2.92,2.4882,3.424,2.46,2.0658,2.9272,25.44,24.252,26.6657,6.98,6.3062,7.7198,25.44,24.252,26.6657,25.44,24.252,26.6657
"weak",6,"Strong",0.95,2500,5000,7.86,7.146,8.6387,8.26,7.5287,9.0554,7.48,6.783,8.2423,23.16,22.0116,24.3496,13.82,12.8912,14.8044,23.16,22.0116,24.3496,23.16,22.0116,24.3496
"strong",1,"No",0.9767,2500,5000,1.12,0.8635,1.4515,1,0.7594,1.3159,0.86,0.6391,1.1563,0.94,0.7077,1.2477,3.88,3.3792,4.4517,NA,NA,NA,NA,NA,NA
"strong",1,"Moderate",0.9818,2500,5000,0.72,0.5205,0.9951,0.54,0.3714,0.7845,0.66,0.4704,0.9254,0.56,0.3877,0.8082,2.36,1.9744,2.8188,NA,NA,NA,NA,NA,NA
"strong",1,"Strong",0.996,2500,5000,0.1,0.0427,0.2339,0.06,0.0204,0.1763,0.14,0.0678,0.2887,0.08,0.0311,0.2055,0.32,0.1971,0.5192,NA,NA,NA,NA,NA,NA
"strong",2,"No",0.9767,2500,5000,23.34,22.1883,24.5327,23.12,21.9723,24.309,23.7,22.5418,24.8986,23.06,21.9134,24.2479,NA,NA,NA,65.5,64.1709,66.8053,0.24,0.1373,0.4191
"strong",2,"Moderate",0.9818,2500,5000,42.6,41.2356,43.9758,42.6,41.2356,43.9758,42.62,41.2555,43.9959,42.42,41.0564,43.7952,NA,NA,NA,79.24,78.0935,80.3416,9.84,9.045,10.6967
"strong",2,"Strong",0.996,2500,5000,35.8,34.4825,37.1393,35.86,34.542,37.1997,35.7,34.3834,37.0385,36.08,34.76,37.4213,NA,NA,NA,61.12,59.7608,62.4622,12.36,11.4765,13.3013
"strong",3,"No",0.9767,2500,5000,0.88,0.6562,1.1792,23.96,22.7972,25.1628,23.6,22.4436,24.797,23.94,22.7775,25.1425,0.88,0.6562,1.1792,55.44,54.0587,56.813,1.36,1.0743,1.7204
"strong",3,"Moderate",0.9818,2500,5000,3.86,3.3605,4.4304,31.9,30.6224,33.2054,32.18,30.8992,33.4882,32.48,31.1958,33.7911,3.86,3.3605,4.4304,60.86,59.4993,62.204,6.96,6.2872,7.6989
"strong",3,"Strong",0.996,2500,5000,4.26,3.7345,4.8558,20.4,19.306,21.5395,20.5,19.4039,21.6414,20.2,19.1102,21.3355,4.26,3.7345,4.8558,35.6,34.2843,36.9378,6.58,5.9256,7.3011
"strong",4,"No",0.9767,2500,5000,0.86,0.6391,1.1563,1.14,0.881,1.474,23.62,22.4632,24.8173,23.52,22.365,24.7156,2,1.6472,2.4265,41.8,40.4397,43.1729,5.34,4.7504,5.9982
"strong",4,"Moderate",0.9818,2500,5000,2.3,1.9197,2.7536,2.5,2.1023,2.9706,24.7,23.5243,25.9145,24.9,23.721,26.1176,4.52,3.9783,5.1316,39.66,38.3125,41.0234,9.94,9.1412,10.8003
"strong",4,"Strong",0.996,2500,5000,1.42,1.1274,1.7872,1.68,1.3591,2.0751,10.3,9.4877,11.1732,10.12,9.3144,10.9868,2.76,2.3409,3.2516,15.72,14.7375,16.7552,4.7,4.1473,5.3222
"strong",5,"No",0.9767,2500,5000,0,0,0.0768,0.98,0.7421,1.2932,11.62,10.7611,12.5379,42.24,40.8774,43.6146,0.98,0.7421,1.2932,48.68,47.2961,50.0659,5.18,4.5994,5.8294
